periodo,masa_salarial,fecha,recaudacion
2016-07,6154967.5,2016-07-01,307748.375
2016-08,6160842.39,2016-08-01,308042.1195
2016-09,6830385.49,2016-09-01,341519.27450000006
2016-10,6948098.52,2016-10-01,347404.926
2016-11,7052810.9,2016-11-01,352640.54500000004
2016-12,10543587.66,2016-12-01,527179.383
2017-01,6998865.6,2017-01-01,349943.28
2017-02,7138371.61,2017-02-01,356918.58050000004
2017-03,7501925.31,2017-03-01,375096.2655
2017-04,7514979.43,2017-04-01,375748.9715
2017-05,7707982.8,2017-05-01,385399.14
2017-06,12545817.09,2017-06-01,627290.8545
2017-07,8469135.3,2017-07-01,423456.7650000001
2017-08,8938254.63,2017-08-01,446912.73150000005
2017-09,9086906.91,2017-09-01,454345.34550000005
2017-10,9045990.43,2017-10-01,452299.52150000003
2017-11,9101212.44,2017-11-01,455060.622
2017-12,13568175.07,2017-12-01,678408.7535000001
2018-01,9002887.06,2018-01-01,450144.35300000006
2018-02,9066123.09,2018-02-01,453306.1545
2018-03,9226917.07,2018-03-01,461345.8535
2018-04,10232192.02,2018-04-01,511609.601
2018-05,10574311.05,2018-05-01,528715.5525000001
2018-06,15743831.41,2018-06-01,787191.5705
2018-07,10407505.86,2018-07-01,520375.293
2018-08,10927980.43,2018-08-01,546399.0215
2018-09,10933360.02,2018-09-01,546668.001
2018-10,11369035.31,2018-10-01,568451.7655000001
2018-11,11838774.62,2018-11-01,591938.731
2018-12,17158665.71,2018-12-01,857933.2855000001
2019-01,11283537.18,2019-01-01,564176.859
2019-02,11437310.61,2019-02-01,571865.5305
2019-03,12778298.84,2019-03-01,638914.942
2019-04,13042478.8,2019-04-01,652123.9400000001
2019-05,13574927.7,2019-05-01,678746.385
2019-06,21434985.01,2019-06-01,1071749.2505
2019-07,15000237.14,2019-07-01,750011.8570000001
2019-08,15137550.85,2019-08-01,756877.5425
2019-09,15604626.64,2019-09-01,780231.332
2019-10,16025141.95,2019-10-01,801257.0975
2019-11,16359909.7,2019-11-01,817995.485
2019-12,24631166.34,2019-12-01,1231558.317
2020-01,16409223.06,2020-01-01,820461.153
2020-02,16230771.62,2020-02-01,811538.581
2020-03,16370440.65,2020-03-01,818522.0325000001
2020-04,16377111.74,2020-04-01,818855.587
2020-05,16356993.5,2020-05-01,817849.675
2020-06,24572762.22,2020-06-01,1228638.111
2020-07,18842246.22,2020-07-01,942112.311
2020-08,18961025.03,2020-08-01,948051.2515000001
2020-09,18964169.28,2020-09-01,948208.4640000002
2020-10,20577674.72,2020-10-01,1028883.736
2020-11,20621400.66,2020-11-01,1031070.033
2020-12,32333881.24,2020-12-01,1616694.062
2021-01,21578546.31,2021-01-01,1078927.3155
2021-02,23095271.26,2021-02-01,1154763.563
2021-03,24351141.96,2021-03-01,1217557.098
2021-04,26825556.52,2021-04-01,1341277.8260000001
2021-05,26936827.76,2021-05-01,1346841.3880000003
2021-06,39941799.55,2021-06-01,1997089.9775
2021-07,27279476.03,2021-07-01,1363973.8015
2021-08,31795575.58,2021-08-01,1589778.779
2021-09,33348468.07,2021-09-01,1667423.4035
2021-10,33548659.62,2021-10-01,1677432.9810000001
2021-11,33765748.1,2021-11-01,1688287.4050000003
2021-12,51798509.71,2021-12-01,2589925.4855000004
2022-01,36708006.06,2022-01-01,1835400.3030000003
2022-02,37695070.89,2022-02-01,1884753.5445
2022-03,40667191.29,2022-03-01,2033359.5645
2022-04,40397841.4,2022-04-01,2019892.07
